,COUNTRY,ISO3,WHO_REGION,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,NUMBER_VACCINES_TYPES_USED
199,Switzerland,CHE,EURO,22/05/2022,15535912,6083847.0,179.5,70.693,5705105.0,66.292,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",3.0
200,Syrian Arab Republic,SYR,EMRO,29/05/2022,3870173,2544641.0,22.114,14.54,1633948.0,9.336,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",11.0
201,Tajikistan,TJK,EURO,08/05/2022,12504152,5189877.0,131.1,54.415,4976770.0,52.18,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",6.0
202,Thailand,THA,SEARO,06/06/2022,137385704,56554618.0,196.828,81.024,52577760.0,75.326,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,SII - Covovax,Sinovac - CoronaVac",8.0
203,The United Kingdom,GBR,EURO,31/05/2022,143183637,53472488.0,210.9,78.567,49986833.0,73.445,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",3.0
204,Timor-Leste,TLS,SEARO,07/06/2022,1599092,812337.0,121.286,61.613,682953.0,51.8,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",4.0
205,Togo,TGO,AFRO,05/06/2022,3290821,2092750.0,39.75,25.279,1557538.0,18.814,SII - Covishield,1.0
206,Tokelau,TKL,WPRO,05/06/2022,3538,1339.0,262.074,99.185,1337.0,99.037,Pfizer BioNTech - Comirnaty,1.0
207,Tonga,TON,WPRO,05/06/2022,261560,104624.0,247.467,98.987,97151.0,91.916,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2.0
208,Trinidad and Tobago,TTO,AMRO,03/06/2022,1564019,749638.0,111.757,53.565,712605.0,50.919,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",5.0
209,Tunisia,TUN,EMRO,05/06/2022,14856958,7229872.0,125.708,61.174,6372301.0,53.917,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",10.0
210,Turkey,TUR,EURO,31/05/2022,147720907,57841876.0,175.2,69.559,53064752.0,63.814,"Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Turkovac",3.0
211,Turkmenistan,TKM,EURO,06/03/2022,7140000,2970000.0,118.4,49.244,2920000.0,48.415,"Anhui ZL - Zifivax,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,RIBSP - QazVac,SRCVB - EpiVacCorona,Unknown Vaccine",7.0
212,Turks and Caicos Islands,TCA,AMRO,03/06/2022,69465,31807.0,179.413,82.15,29807.0,76.985,Pfizer BioNTech - Comirnaty,1.0
213,Tuvalu,TUV,WPRO,05/06/2022,12528,6368.0,106.242,54.003,6160.0,52.239,AstraZeneca - Vaxzevria,1.0
214,Uganda,UGA,AFRO,05/06/2022,21268120,15896844.0,46.497,34.754,10790397.0,23.59,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",5.0
